word,thai
finger,นิ้วมือ
morning,ตอนเช้า
evening,ตอนเย็น
kitchen,ห้องครัว
chicken,ไก่
teacher,ครู
student,นักเรียน
bedroom,ห้องนอน
balloon,ลูกโป่ง
picture,รูปภาพ
bicycle,จักรยาน
village,หมู่บ้าน
station,สถานี
problem,ปัญหา
weather,สภาพอากาศ
brother,พี่ชาย
husband,สามี
airport,สนามบิน
grocery,ร้านขายของชำ
parking,ที่จอดรถ
library,ห้องสมุด
traffic,การจราจร
capital,เมืองหลวง
company,บริษัท
service,การบริการ
product,ผลิตภัณฑ์
network,เครือข่าย
history,ประวัติศาสตร์
culture,วัฒนธรรม
science,วิทยาศาสตร์
machine,เครื่องจักร
concert,คอนเสิร์ต
dolphin,โลมา
giraffe,ยีราฟ
penguin,เพนกวิน
perfect,สมบูรณ์แบบ
prepare,เตรียม
general,ทั่วไป
century,ศตวรรษ
fortune,โชคลาภ
package,แพ็คเกจ
address,ที่อยู่
husband,สามี
cartoon,การ์ตูน
thunder,ฟ้าร้อง
diamond,เพชร
emerald,มรกต
crystal,คริสตัล
rainbow,รุ้ง
monster,ปีศาจ
elephant,ช้าง
children,เด็ก
mountain,ภูเขา
hospital,โรงพยาบาล
building,อาคาร
language,ภาษา
computer,คอมพิวเตอร์
keyboard,แป้นพิมพ์
magazine,นิตยสาร
national,ระดับชาติ
daughter,ลูกสาว
neighbor,เพื่อนบ้าน
sandwich,แซนด์วิช
football,ฟุตบอล
birthday,วันเกิด
thousand,พัน
umbrella,ร่ม
business,ธุรกิจ
question,คำถาม
calendar,ปฏิทิน
bathroom,ห้องน้ำ
distance,ระยะทาง
entrance,ทางเข้า
engineer,วิศวกร
standard,มาตรฐาน
password,รหัสผ่าน
document,เอกสาร
medicine,ยา
practice,ฝึกฝน
chocolate,ช็อกโกแลต
breakfast,อาหารเช้า
newspaper,หนังสือพิมพ์
president,ประธานาธิบดี
apartment,อพาร์ทเมนท์
adventure,การผจญภัย
telephone,โทรศัพท์
different,แตกต่าง
important,สำคัญ
community,ชุมชน
beautiful,สวยงาม
wonderful,วิเศษ
yesterday,เมื่อวาน
furniture,เฟอร์นิเจอร์
Christmas,คริสต์มาส
hamburger,แฮมเบอร์เกอร์
education,การศึกษา
classroom,ห้องเรียน
celebrate,ฉลอง
interview,สัมภาษณ์
recognize,จดจำ
situation,สถานการณ์
attention,ความสนใจ
September,กันยายน
direction,ทิศทาง
emergency,ฉุกเฉิน
equipment,อุปกรณ์
geography,ภูมิศาสตร์
goldfish,ปลาทอง
happiness,ความสุข
hurricane,พายุเฮอริเคน
important,สำคัญ
knowledge,ความรู้
landscape,ทิวทัศน์
lightning,ฟ้าผ่า
memories,ความทรงจำ
pineapple,สับปะรด
Wednesday,วันพุธ
wonderful,น่าอัศจรรย์
crocodile,จระเข้
blackboard,กระดานดำ
strawberry,สตรอเบอร์รี่
everything,ทุกสิ่ง
basketball,บาสเกตบอล
restaurant,ร้านอาหาร
connection,การเชื่อมต่อ
experience,ประสบการณ์
restaurant,ร้านอาหาร
technology,เทคโนโลยี
generation,รุ่น
government,รัฐบาล
impression,ความประทับใจ
invitation,คำเชิญ
playground,สนามเด็กเล่น
population,ประชากร
profession,อาชีพ
basketball,บาสเกตบอล
understand,เข้าใจ
vegetable,ผัก
atmosphere,บรรยากาศ
background,พื้นหลัง
blackberry,แบล็กเบอร์รี่
calculator,เครื่องคิดเลข
childhood,วัยเด็ก
conclusion,ข้อสรุป
conference,การประชุม
conscience,สติสัมปชัญญะ
dictionary,พจนานุกรม
difficulty,ความยากลำบาก
employment,การจ้างงาน
expression,การแสดงออก
girlfriend,แฟนสาว
greenhouse,เรือนกระจก
helicopter,เฮลิคอปเตอร์
playground,สนามเด็กเล่น
skateboard,สเก็ตบอร์ด
basketball,บาสเกตบอล
watermelon,แตงโม
calculator,เครื่องคิดเลข
information,ข้อมูล
environment,สิ่งแวดล้อม
temperature,อุณหภูมิ
application,แอปพลิเคชัน
performance,ประสิทธิภาพ
celebration,การเฉลิมฉลอง
competition,การแข่งขัน
countryside,ชนบท
development,การพัฒนา
electricity,ไฟฟ้า
examination,การสอบ
grandfather,ปู่
grandmother,ย่า
imagination,จินตนาการ
instruction,คำสั่ง
comfortable,สบาย
explanation,คำอธิบาย
marketplace,ตลาด
opportunity,โอกาส
personality,บุคลิกภาพ
photography,การถ่ายภาพ
possibility,ความเป็นไปได้
refrigerator,ตู้เย็น
conversation,การสนทนา
championship,ชัยชนะ
neighborhood,ย่าน
relationship,ความสัมพันธ์
announcement,การประกาศ
appreciation,ความขอบคุณ
architecture,สถาปัตยกรรม
civilization,อารยธรรม
constitution,รัฐธรรมนูญ
construction,การก่อสร้าง
contribution,การมีส่วนร่วม
distribution,การจัดจำหน่าย
independence,ความเป็นอิสระ
introduction,การแนะนำ
kindergarten,โรงเรียนอนุบาล
manufacturer,ผู้ผลิต
organization,องค์กร
professional,มืออาชีพ
refrigerator,ตู้เย็น
entrepreneur,ผู้ประกอบการ
encyclopedia,สารานุกรม
international,ระหว่างประเทศ
communication,การสื่อสาร
uncomfortable,ไม่สบาย
understanding,ความเข้าใจ
advertisement,การโฆษณา
entertainment,ความบันเทิง
comprehensive,ครอบคลุม
demonstration,การสาธิต
extraordinary,พิเศษ
manufacturing,การผลิต
understanding,ความเข้าใจ
consideration,การพิจารณา
concentration,ความเข้มข้น
administrator,ผู้ดูแลระบบ
establishment,สถาบัน
transportation,การขนส่ง
responsibility,ความรับผิดชอบ
characteristic,ลักษณะเฉพาะ
congratulation,ยินดี
infrastructure,โครงสร้างพื้นฐาน
recommendation,คำแนะนำ
classification,การจัดหมวดหมู่
transformation,การเปลี่ยนแปลง
identification,การระบุตัวตน
accomplishment,ความสำเร็จ
administration,การบริหาร
archaeological,โบราณคดี
autobiography,อัตชีวประวัติ
representative,ตัวแทน
disappointment,ความผิดหวัง
acknowledgement,การรับทราบ
experimentation,การทดลอง
characterization,ลักษณะเฉพาะ
miscommunication,การสื่อสารผิดพลาด
congratulations,ขอแสดงความยินดี
multitasking,การทำงานหลายอย่าง
work,งาน
play,เล่น
read,อ่าน
walk,เดิน
talk,พูด
sing,ร้องเพลง
jump,กระโดด
open,เปิด
shut,ปิด
give,ให้
take,เอา
good,ดี
nice,ดี
kind,ใจดี
tall,สูง
fast,เร็ว
slow,ช้า
busy,ยุ่ง
lazy,ขี้เกียจ
hard,หนัก
easy,ง่าย
soft,นุ่ม
dark,มืด
bell,กระดิ่ง
bank,ธนาคาร
shop,ร้านค้า
mall,ห้างสรรพสินค้า
pool,สระว่ายน้ำ
park,สวนสาธารณะ
seat,ที่นั่ง
desk,โต๊ะทำงาน
lamp,โคมไฟ
room,ห้อง
hall,โถง
wall,ผนัง
roof,หลังคา
town,เมือง
land,ที่ดิน
wing,ปีก
king,กษัตริย์
song,เพลง
team,ทีม
game,เกม
gift,ของขวัญ
trip,การเดินทาง
tour,ทัวร์
move,ย้าย
push,ผลัก
pull,ดึง
cook,ทำอาหาร
wash,ล้าง
wear,สวมใส่
bear,หมี
deer,กวาง
duck,เป็ด
lion,สิงโต
wolf,หมาป่า
frog,กบ
duck,เป็ด
corn,ข้าวโพด
bean,ถั่ว
grape,องุ่น
lemon,มะนาว
melon,แตง
peach,ลูกพีช
berry,เบอร์รี่
onion,หัวหอม
salad,สลัด
toast,ขนมปังปิ้ง
sauce,ซอส
spoon,ช้อน
plate,จาน
towel,ผ้าเช็ดตัว
brush,แปรง
broom,ไม้กวาด
cloth,ผ้า
shirt,เสื้อ
skirt,กระโปรง
dress,เดรส
glove,ถุงมือ
scarf,ผ้าพันคอ
boots,รองเท้าบูท
crown,มงกุฎ
sword,ดาบ
shield,โล่
arrow,ลูกศร
tower,หอคอย
castle,ปราสาท
palace,พระราชวัง
prince,เจ้าชาย
knight,อัศวิน
dragon,มังกร
wizard,พ่อมด
castle,ปราสาท
pirate,โจรสลัด
sailor,กะลาสี
planet,ดาวเคราะห์
rocket,จรวด
comet,ดาวหาง
galaxy,กาแล็กซี่
meteor,ดาวตก
crater,หลุมอุกกาบาต
orbit,วงโคจร
alien,มนุษย์ต่างดาว
space,อวกาศ
laser,เลเซอร์
robot,หุ่นยนต์
drone,โดรน
cable,สายเคเบิล
mouse,เมาส์
pixel,พิกเซล
cloud,คลาวด์
virus,ไวรัส
email,อีเมล
login,เข้าสู่ระบบ
upload,อัปโหลด
server,เซิร์ฟเวอร์
router,เราเตอร์
laptop,แล็ปท็อป
tablet,แท็บเล็ต
screen,หน้าจอ
memory,หน่วยความจำ
format,รูปแบบ
folder,โฟลเดอร์
backup,สำรอง
update,อัปเดต
delete,ลบ
cursor,เคอร์เซอร์
search,ค้นหา
plugin,ปลั๊กอิน
engine,เครื่องยนต์
mobile,มือถือ
device,อุปกรณ์
charge,ชาร์จ
socket,ปลั๊กไฟ
switch,สวิตช์
remote,รีโมท
signal,สัญญาณ
sensor,เซ็นเซอร์
filter,ฟิลเตอร์
volume,ความดัง
bright,สว่าง
smooth,เรียบ
rough,หยาบ
sharp,คม
blunt,ทื่อ
thick,หนา
heavy,หนัก
empty,ว่างเปล่า
dirty,สกปรก
clean,สะอาด
fresh,สด
stale,เก่า
cheap,ถูก
clear,ชัดเจน
foggy,มีหมอก
windy,ลมแรง
sunny,แดดจ้า
rainy,ฝนตก
snowy,หิมะตก
stormy,พายุ
cloudy,มีเมฆมาก
humid,ชื้น
dry,แห้ง
wet,เปียก
icy,เยือกแข็ง
fog,หมอก
dew,น้ำค้าง
mist,หมอกบาง
hail,ลูกเห็บ
tide,กระแสน้ำ
wave,คลื่น
sand,ทราย
clay,ดินเหนียว
mud,โคลน
dirt,ดิน
rock,หิน
coal,ถ่านหิน
iron,เหล็ก
steel,เหล็กกล้า
brass,ทองเหลือง
copper,ทองแดง
bronze,ทองสัมฤทธิ์
marble,หินอ่อน
cement,ปูนซีเมนต์
brick,อิฐ
tile,กระเบื้อง
beam,คาน
pillar,เสา
column,คอลัมน์
arch,โค้ง
dome,โดม
fence,รั้ว
gate,ประตู
yard,ลาน
lawn,สนามหญ้า
hedge,พุ่มไม้
bush,พุ่ม
vine,เถา
weed,วัชพืช
seed,เมล็ด
root,ราก
stem,ลำต้น
leaf,ใบไม้
petal,กลีบดอก
thorn,หนาม
fruit,ผลไม้
nut,ถั่ว
pod,ฝัก
crop,พืชผล
wheat,ข้าวสาลี
barley,ข้าวบาร์เลย์
flour,แป้ง
dough,แป้งโด
yeast,ยีสต์
sugar,น้ำตาล
salt,เกลือ
pepper,พริกไทย
spice,เครื่องเทศ
herb,สมุนไพร
mint,สะระแหน่
basil,โหระพา
garlic,กระเทียม
ginger,ขิง
chili,พริก
curry,แกง
soup,ซุป
stew,สตูว์
broth,น้ำซุป
noodle,เส้นก๋วยเตี๋ยว
pasta,พาสต้า
pizza,พิซซ่า
taco,ทาโก้
sushi,ซูชิ
kebab,เคบับ
